sppg_id,nama_sekolah,kategori,alamat,default_porsi_besar,default_porsi_kecil
9,SMP Muhammadiyah Garut,Sekolah,Jl. Muhammadiyah N0. 21 Garut,,
9,SDN I Sukanegla,Sekolah,Jl. Margawati No 72 Garut,,
9,SDN 2 Sukanegla,Sekolah,Jl. Margawati RT 01 RW 17 Garut,,
9,SDN 3 Sukanegla,Sekolah,Jl. Margawati RT 01 RW 17 Garut,,
9,SDN 4 Sukanegla,Sekolah,Jl. Margawati RT 01 RW 17 Garut,,
9,SDN I Kota Kulon,Sekolah,Jl. Ciledug 213 Garut,,
9,SDN 2 Kota Kulon,Sekolah,Jl. Ciledug 213 Garut,,
9,SDN 3 Pakuwon,Sekolah,Jl. Mawar No. 16 Kel Pakuwon Garut Kota,,
9,SDN Regol 5,Sekolah,Jl. Ranggalawe N0 1 Garut,,
9,SDN Regol 6,Sekolah,Jl. Ranggalawe N0 1 Garut,,
9,SDN 1 Paminggir,Sekolah,Kp. Cikopo RT.001 RW. 011 Jayaraga Tarogong Kidul,,
9,SDN 2 Paminggir,Sekolah,Jl. Cimerang Baru RT.001 RW. 015 Sukanegla Garut,,
9,SDN I Margawati,Sekolah,Jl. Margawati RT 01 RW 17 Garut,,
9,SDN 2 Margawati,Sekolah,Jl. Margawati Kp. Gugunungan RT. 03 RW. 02,,
9,SD Kartika Siliwangi 3,Sekolah,Jl. Siliwangi N0. 14 Garut,,
9,TK Baiturahman,Sekolah,Jl. Ciledug No. 52 Garut,,
9,PAUD Harapan Mulya,Sekolah,Jl. Ciledug No. 251 Garut,,
9,KB. Flamboyan,Sekolah,Jl. Cimanuk Gang Kaum Lebak RT.01 RW 09 Garut,,
9,PAUD Arrahim,Sekolah,Jl. Cikuray No. 67 RT.03 RW 08 Garut,,
10,SD N Nguter 4,Sekolah,-,,
10,SD N Nguter 5,Sekolah,-,,
10,TK Desa Nguter 2,Sekolah,-,,
10,SD N Nguter 3,Sekolah,-,,
10,RA Riyadhus Sholihin,Sekolah,-,,
10,MI Riyadhus Sholihin,Sekolah,-,,
10,TPA Masyitoh,Sekolah,-,,
10,TK Desa Nguter 1,Sekolah,-,,
10,SD N Nguter 2,Sekolah,-,,
10,Nurul Qolbi,Sekolah,-,,
10,SD N 1 Nguter,Sekolah,-,,
10,SMP Ahmad Dahlan,Sekolah,-,,
10,SMK Muhammadiyah 2,Sekolah,-,,
10,TK Attaqwa,Sekolah,-,,
10,SMP N 1 Nguter,Sekolah,-,,
10,BA Ngambil-ambil,Sekolah,-,,
10,BA Kedungwinong,Sekolah,-,,
10,SD N 1 Kedungwinong,Sekolah,-,,
10,SD N 3 Kedungwinong,Sekolah,-,,
10,SD N 2 Kepuh,Sekolah,-,,
10,SD N 3 Kepuh,Sekolah,-,,
10,SD N 1 Kepuh,Sekolah,-,,
10,BA Kepuh,Sekolah,-,,
10,BA Pondok,Sekolah,-,,
10,SD N 2 Lawu,Sekolah,-,,
10,Mim Pk Ahmad Dahlan,Sekolah,-,,
10,KB Permata Hati Baran,Sekolah,-,,
10,TK Desa Baran,Sekolah,-,,
10,SD N 1 Baran,Sekolah,-,,
10,SD N 1 Lawu,Sekolah,-,,
10,BA Lawu,Sekolah,-,,
10,SMP N 3 Nguter,Sekolah,-,,
10,Mim Kedungwinong,Sekolah,-,,
11,TK Cilawu,Sekolah,-,,
11,MI Dayeuhmanggung,Sekolah,-,,
11,MI Cikoneng,Sekolah,-,,
11,Kober Cikoneng,Sekolah,-,,
11,RA Cikoneng,Sekolah,-,,
11,RA Arroja,Sekolah,-,,
11,MI Arroja,Sekolah,-,,
11,Min 3 Garut,Sekolah,-,,
11,SMP Muh Cilawu,Sekolah,-,,
11,MTS Arroja,Sekolah,-,,
11,Ma Arroja,Sekolah,-,,
11,TK Mukhtaariyah,Sekolah,-,,
11,Sds Mukhtaariyah,Sekolah,-,,
11,SD Muh Lio,Sekolah,-,,
11,SD Muh 3,Sekolah,-,,
11,TK Alhidayah,Sekolah,-,,
12,KB IT Al-husna,Sekolah,Gedung Reguler (Belakang Alhusna 1),,
12,TK IT Al-husna,Sekolah,Gedung Reguler (Belakang Alhusna 1),,
12,SD IT Reguler Al-husna,Sekolah,Gedung Reguler (Belakang Alhusna 1),,
12,SD Tahfid Putra (Pondok),Sekolah,Alhusna 1 (Ngemplak Pelemkerep),,
12,SD Tahfid Putri (Pondok),Sekolah,Alhusna 2 (Singorojo),,
12,SMP Tahfid Putra (Pondok),Sekolah,Alhusna 3 (Selatan Alhusna 1),,
